id,listing_url,name,room_type,neighbourhood,latitude,longitude,price,availability_30,calendar_last_scraped,number_of_reviews,review_scores_accuracy
17697262,https://www.airbnb.com/rooms/17697262,Twin Beds in Prime Central Location,Private room,Mission District,37.75813182,-122.4141177,$79.00 ,0,4/2/2017,3,10
13043340,https://www.airbnb.com/rooms/13043340,Mission Studio in the Perfect Location,Entire home/apt,Mission District,37.75754497,-122.4201252,$115.00 ,0,4/2/2017,5,10
2049672,https://www.airbnb.com/rooms/2049672,SF Mission Dolores Home,Entire home/apt,Mission District,37.76249605,-122.422603,$575.00 ,1,4/2/2017,11,9
16272594,https://www.airbnb.com/rooms/16272594,Private Room in Beautiful Apartment,Private room,Mission District,37.7580424,-122.4211011,$65.00 ,0,4/2/2017,7,10
10947787,https://www.airbnb.com/rooms/10947787,Mission House w Roof Deck / Yard,Entire home/apt,Mission District,37.75788359,-122.4075305,"$2,000.00 ",0,4/2/2017,0,
15873936,https://www.airbnb.com/rooms/15873936,Sweet Mission Room,Private room,Mission District,37.75456441,-122.4125264,$51.00 ,0,4/2/2017,1,
11259062,https://www.airbnb.com/rooms/11259062,Tiny Urban Cottage,Entire home/apt,,37.75239754,-122.4244804,$159.00 ,11,4/2/2017,30,10
7163038,https://www.airbnb.com/rooms/7163038,Sunlit and modern apartment in SOMA,Private room,Mission District,37.76911001,-122.4119345,$120.00 ,0,4/2/2017,1,
4533440,https://www.airbnb.com/rooms/4533440,Comfortable Room in Artistic Condo,Private room,Mission District,37.76862344,-122.4244366,$100.00 ,1,4/2/2017,72,10
14011529,https://www.airbnb.com/rooms/14011529,Bright studio in the HEART OF THE MISSION,Shared room,Mission District,37.76066203,-122.4208268,$50.00 ,0,4/2/2017,1,
3379430,https://www.airbnb.com/rooms/3379430,WEEKEND ROOM IN THE MISSION ,Private room,Mission District,37.75826018,-122.4083304,$80.00 ,0,4/2/2017,1,10
8029798,https://www.airbnb.com/rooms/8029798,"Clean, cozy, and spacious apartment",Private room,Mission District,37.75596136,-122.4095302,$75.00 ,0,4/2/2017,2,8
1623609,https://www.airbnb.com/rooms/1623609,Private suite - in vibrant Mission,Private room,Mission District,37.75942336,-122.4075424,$155.00 ,0,4/2/2017,132,10
16324639,https://www.airbnb.com/rooms/16324639,Heart of the Mission New Cozy Charmer,Entire home/apt,Mission District,37.75993231,-122.4213667,$250.00 ,0,4/2/2017,4,9
17501306,https://www.airbnb.com/rooms/17501306,Quaint bedroom in the heart of SF,Private room,Mission District,37.77021195,-122.4228986,$55.00 ,0,4/2/2017,8,10
591431,https://www.airbnb.com/rooms/591431,Big Victorian home in â™¥ of Mission,Entire home/apt,Mission District,37.75065685,-122.4234918,$450.00 ,0,4/2/2017,9,8
9351735,https://www.airbnb.com/rooms/9351735,Your Bright & Spacious Mission home,Entire home/apt,Mission District,37.74944922,-122.4095556,$250.00 ,0,4/2/2017,45,10
1962559,https://www.airbnb.com/rooms/1962559,Comfy & quiet. Awesome location,Entire home/apt,Noe Valley,37.75375109,-122.4252011,$150.00 ,0,4/2/2017,1,10
6926901,https://www.airbnb.com/rooms/6926901,Victorian in the heart of Mission,Entire home/apt,Mission District,37.75641542,-122.4128513,$300.00 ,14,4/2/2017,21,10
12366392,https://www.airbnb.com/rooms/12366392,Spacious & sunny 1br apartment,Entire home/apt,Mission District,37.76772249,-122.422152,$170.00 ,0,4/2/2017,4,10
5943416,https://www.airbnb.com/rooms/5943416,Noe Valley/Mission Studio,Entire home/apt,,37.75151485,-122.4245018,$190.00 ,3,4/2/2017,1,
1339473,https://www.airbnb.com/rooms/1339473,Heart of the Mission!,Entire home/apt,Mission District,37.75440053,-122.412507,$230.00 ,8,4/2/2017,29,10
10940485,https://www.airbnb.com/rooms/10940485,Room in Valencia Flat,Private room,Mission District,37.75309747,-122.4199679,$115.00 ,1,4/2/2017,25,10
10792779,https://www.airbnb.com/rooms/10792779,Sunny & Modern Mission Gem,Private room,Mission District,37.75780405,-122.4214434,$95.00 ,0,4/2/2017,6,10
5414237,https://www.airbnb.com/rooms/5414237,A Sunshine Lit Double Suite,Private room,Mission District,37.74970235,-122.4066375,$90.00 ,1,4/2/2017,31,10
6954332,https://www.airbnb.com/rooms/6954332,Beautiful Room w/ Bay Window in the Mission!,Private room,Mission District,37.76645745,-122.4253543,$95.00 ,9,4/2/2017,11,9
10809367,https://www.airbnb.com/rooms/10809367,Nice Mission Apartment Walk to BART,Entire home/apt,Mission District,37.75089762,-122.4148136,$350.00 ,0,4/2/2017,0,
815123,https://www.airbnb.com/rooms/815123,Cozy studio in the Mission,Entire home/apt,Mission District,37.75110865,-122.4187323,$130.00 ,0,4/2/2017,8,10
1388523,https://www.airbnb.com/rooms/1388523,Mission Dolores Noe Valley Studio,Entire home/apt,Mission District,37.75526258,-122.4249664,"$4,000.00 ",27,4/2/2017,40,10
765914,https://www.airbnb.com/rooms/765914,"Gorgeous Mission Loft, Great Light!",Entire home/apt,Mission District,37.75691789,-122.4111644,$349.00 ,30,4/2/2017,20,10
225205,https://www.airbnb.com/rooms/225205,Private Mission Room Near Valencia,Private room,Mission District,37.76096715,-122.4231305,$115.00 ,10,4/2/2017,231,10
6795192,https://www.airbnb.com/rooms/6795192,Sunny two-bedroom in vibrant Mission District,Entire home/apt,Mission District,37.75849371,-122.4157999,$170.00 ,17,4/2/2017,3,10
5775177,https://www.airbnb.com/rooms/5775177,Modern Mission Apt. w/ Private Bath,Private room,Mission District,37.74825404,-122.4176816,$115.00 ,22,4/2/2017,12,10
